Altium Designer Pick and Place Locations
Y:\My Hardware\Altium\IceCube\Mini-Mainboard\MMB_Controller (2-27-2020 2-48-15 PM)\Design Projects\Mini MB\Fabrication\MMB_Controller\Pick Place\Pick Place for MMB_Controller_Board.csv

========================================================================================================================
File Design Information:

Date:       09.06.20
Time:       18:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C67","0.1uF_603_50V","BottomLayer","CAPC_0603","1511.811","826.772","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C66","0.1uF_603_50V","BottomLayer","CAPC_0603","1736.220","1287.402","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C65","0.1uF_603_50V","BottomLayer","CAPC_0603","1972.441","1295.276","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C63","0.1uF_603_50V","BottomLayer","CAPC_0603","2153.543","937.008","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C62","0.1uF_603_50V","BottomLayer","CAPC_0603","1925.197","716.535","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C61","0.1uF_603_50V","BottomLayer","CAPC_0603","2153.543","700.787","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C60","0.1uF_603_50V","BottomLayer","CAPC_0603","2102.362","1314.961","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C59","0.1uF_603_50V","BottomLayer","CAPC_0603","1515.748","1291.339","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C58","0.1uF_603_50V","BottomLayer","CAPC_0603","1582.677","645.669","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C57","0.1uF_603_50V","BottomLayer","CAPC_0603","1539.370","996.063","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C56","0.1uF_603_50V","BottomLayer","CAPC_0603","1720.472","708.661","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C55","0.1uF_603_50V","BottomLayer","CAPC_0603","1783.465","708.661","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C64","0.1uF_603_50V","BottomLayer","CAPC_0603","2157.480","1137.795","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C40","0.1uF_603_50V","TopLayer","CAPC_0603","980.315","1602.362","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C46","0.1uF_603_50V","TopLayer","CAPC_0603","1153.543","456.693","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C45","0.1uF_603_50V","TopLayer","CAPC_0603","1377.953","602.362","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C43","0.1uF_603_50V","TopLayer","CAPC_0603","1019.685","228.346","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C50","0.1uF_603_50V","BottomLayer","CAPC_0603","1598.425","744.095","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C47","0.1uF_603_50V","BottomLayer","CAPC_0603","2704.724","283.465","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C108","0.1uF_603_50V","BottomLayer","CAPC_0603","2059.055","1716.535","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C106","0.1uF_603_50V","BottomLayer","CAPC_0603","2133.858","1822.835","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C105","0.1uF_603_50V","BottomLayer","CAPC_0603","2078.740","1822.835","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C102","0.1uF_603_50V","TopLayer","CAPC_0603","1397.638","1791.339","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C100","0.1uF_603_50V","TopLayer","CAPC_0603","1468.504","1889.764","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C96","0.1uF_603_50V","BottomLayer","CAPC_0603","1370.079","1759.842","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C98","0.1uF_603_50V","TopLayer","CAPC_0603","1555.118","1629.921","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C104","0.1uF_603_50V","BottomLayer","CAPC_0603","1519.685","1905.512","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C132","0.1uF_603_50V","BottomLayer","CAPC_0603","2082.677","283.465","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C131","0.1uF_603_50V","BottomLayer","CAPC_0603","2185.039","283.465","0","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"R302","R_2.00K_603_1%","BottomLayer","RES_0603","1984.252","909.449","270","RES 2.00K OHM 1/10W 1% 0603 SMD"
"R301","R_2.00K_603_1%","BottomLayer","RES_0603","2051.181","909.449","270","RES 2.00K OHM 1/10W 1% 0603 SMD"
"P33","62130621021","BottomLayer","62130621021","696.851","1559.055","90","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 6pin"
"ID3","R_ZERO_805","BottomLayer","RES_0603","2019.685","1204.724","270","RES ZERO OHM 0805 SMD"
"ID1","R_ZERO_805","BottomLayer","RES_0603","2019.685","1047.244","270","RES ZERO OHM 0805 SMD"
"ID0","R_ZERO_805","BottomLayer","RES_0603","2094.488","1047.244","270","RES ZERO OHM 0805 SMD"
"C134","10uF_805_10V","BottomLayer","CAPC_0805","1358.268","1870.079","0","Capacitor"
"C133","10uF_805_10V","BottomLayer","CAPC_0805","1460.630","1763.780","90","Capacitor"
"C12","0.1uF_603_50V","TopLayer","CAPC_0603","2815.000","905.000","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"U14","DS90LV011ATMF","BottomLayer","MF05A_N","2915.354","1568.898","180","Single High Speed Differential Driver, 5-pin SOT-23"
"R53","R_28.0_603_1%","TopLayer","RES_0603","661.417","789.370","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R68","R_28.0_603_1%","TopLayer","RES_0603","921.260","681.102","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R38","R_2.00K_603_1%","BottomLayer","RES_0603","1657.480","1830.709","270","RES 2.00K OHM 1/10W 1% 0603 SMD"
"PBA","61201020621","TopLayer","61201020621","3114.173","984.252","90","Male Box Header WR-BHD, SMT, Vertical, pitch 2.54 mm, 10 pins"
"P17","LVDS TERM","BottomLayer","62100421021","716.535","316.929","180","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 4pin"
"P14","TIME_SEL","BottomLayer","62100821021","3110.236","970.669","270","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 8pin"
"P13","TRIG_SEL","BottomLayer","62100821021","3110.236","748.032","90","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 8pin"
"P10","61000618221","BottomLayer","61000618221","2437.008","913.386","90","WR-PHD Pin Header, SMT, pitch 2.54mm, Single Row, Vertical, 6pin"
"P6","ICM FPGA","BottomLayer","62101021021","2468.504","1679.134","360","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 10pin"
"P2","ICM BYPASS","BottomLayer","62101021021","163.386","1564.960","360","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 10pin"
"P1","Interlink Bypass","BottomLayer","62100821021","2452.756","407.480","360","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 8pin"
"P16","LVDS TERM","BottomLayer","62100421021","281.496","458.661","90","WR-PHD Pin Header, SMT, pitch 1.27mm, Dual Row, Vertical, 4pin"
"U11","LIS3MDLTR","TopLayer","VFLGA-12","1551.181","1850.394","270","Magnetoresistive Sensor X, Y, Z Axis 12-LGA (2x2)"
"P9","MCU_SER =UART8","BottomLayer","Header_Male_6_Vert","1169.291","1020.866","180","CONN HEADER 6POS .100 VERT 30AU"
"U17","SN74LVC2T45QDCURQ1","BottomLayer","TI-DGK8_N","2147.638","376.969","360","Voltage Level Translator Bidirectional 1 Circuit 2 Channel 420Mbps SM8 (SSOP)"
"U16","DS90LV012ATMF","TopLayer","MF05A_N","2767.716","1431.102","90","3V LVDS Single CMOS Differential Line Receiver, 5-pin SOT-23"
"U15","DS90LV012ATMF","TopLayer","MF05A_N","2791.338","708.661","90","3V LVDS Single CMOS Differential Line Receiver, 5-pin SOT-23"
"U13","DS90LV012ATMF","TopLayer","MF05A_N","2858.268","537.402","90","3V LVDS Single CMOS Differential Line Receiver, 5-pin SOT-23"
"U12","ADXL355BEZ-RL7","BottomLayer","E-14-1","1864.173","1767.716","360","Accelerometer X, Y, Z Axis ±2g, 4g, 8g 1.5kHz 14-CLCC (6x6)"
"U10","LPS22HDTR","TopLayer","HLGA-10L","1553.150","1707.480","90","Pressure Sensor  Absolute   10-VFLGA"
"U9","DS90LV012ATMF","TopLayer","MF05A_N","893.701","482.283","0","3V LVDS Single CMOS Differential Line Receiver, 5-pin SOT-23"
"U8","NUP4301MR6T1G","TopLayer","ONSC-SC-74-6-318F-05_V","1084.646","1738.189","270","Low Capacitance Diode Array for ESD Protection in Four Data Lines, 6-Pin SC-74, Pb-Free, Tape and Reel"
"U7","SN74LVC2T45QDCURQ1","TopLayer","TI-DGK8_N","1216.535","622.047","225","Voltage Level Translator Bidirectional 1 Circuit 2 Channel 420Mbps SM8 (SSOP)"
"U6","DS90LV012ATMF","TopLayer","MF05A_N","1047.244","348.425","90","3V LVDS Single CMOS Differential Line Receiver, 5-pin SOT-23"
"U5","STM32H743ZIT6","TopLayer","STM-LQFP144_N","1822.835","984.252","0","ARM® Cortex®-M7 STM32H7 Microcontroller IC 32-Bit 400MHz 2MB (2M x 8) FLASH 144-LQFP (20x20)"
"U4","S25FS512SAGMFV010","TopLayer","MICT-SF-16_N","677.165","1726.378","180","IC FLASH 512M SPI 133MHZ 16SOIC"
"U3","DS24B33S+T&R","TopLayer","W8+2_M","2714.567","1722.441","90","EEPROM Memory IC 4Kb (256 x 16) 1-Wire®  2µs 8-SO"
"U2","SN74LVC2T45QDCURQ1","BottomLayer","TI-DGK8_N","2767.716","139.764","180","Voltage Level Translator Bidirectional 1 Circuit 2 Channel 420Mbps SM8 (SSOP)"
"U1","SN74LVC2T45QDCURQ1","BottomLayer","TI-DGK8_N","2127.953","188.976","360","Voltage Level Translator Bidirectional 1 Circuit 2 Channel 420Mbps SM8 (SSOP)"
"TP5","PC TEST POINT MINI SMD","BottomLayer","Test_Point_SM","3072.835","1836.614","90","5019KCT-ND"
"TP4","PC TEST POINT MINI SMD","BottomLayer","Test_Point_SM","930.000","120.000","360","5019KCT-ND"
"TP3","PC TEST POINT MINI SMD","BottomLayer","Test_Point_SM","3040.000","120.000","90","5019KCT-ND"
"TP2","PC TEST POINT MINI SMD","BottomLayer","Test_Point_SM","1039.370","515.748","90","5019KCT-ND"
"TP1","PC TEST POINT MINI SMD","BottomLayer","Test_Point_SM","1039.370","391.732","360","5019KCT-ND"
"R80","R_49.9_603_1%","TopLayer","RES_0603","905.512","297.244","90","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R79","R_49.9_603_1%","TopLayer","RES_0603","836.614","297.244","270","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R78","R_49.9_603_1%","TopLayer","RES_0603","1220.472","295.276","135","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R77","R_49.9_603_1%","TopLayer","RES_0603","1137.795","236.220","225","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R76","R_49.9_603_1%","BottomLayer","RES_0603","124.016","397.638","270","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R75","R_49.9_603_1%","BottomLayer","RES_0603","45.276","397.638","90","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R74","R_49.9_603_1%","BottomLayer","RES_0603","328.740","342.520","270","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R73","R_49.9_603_1%","BottomLayer","RES_0603","232.284","342.520","90","RES 49.9 OHM 1/10W 1% 0603 SMD"
"R72","R_28.0_603_1%","TopLayer","RES_0603","765.748","584.646","180","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R71","R_28.0_603_1%","TopLayer","RES_0603","1822.835","433.071","90","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R70","R_28.0_603_1%","TopLayer","RES_0603","1757.874","433.071","90","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R69","R_28.0_603_1%","TopLayer","RES_0603","1690.945","433.071","90","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R67","R_28.0_603_1%","TopLayer","RES_0603","937.008","744.095","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R66","R_28.0_603_1%","TopLayer","RES_0603","956.693","809.055","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R65","R_28.0_603_1%","TopLayer","RES_0603","980.315","874.016","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R64","R_28.0_603_1%","TopLayer","RES_0603","980.315","938.976","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R63","R_28.0_603_1%","TopLayer","RES_0603","978.346","1003.937","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R62","R_28.0_603_1%","TopLayer","RES_0603","948.819","1068.898","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R61","R_28.0_603_1%","TopLayer","RES_0603","948.819","1133.858","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R60","R_28.0_603_1%","TopLayer","RES_0603","948.819","1198.819","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R59","R_28.0_603_1%","TopLayer","RES_0603","948.819","1265.748","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R58","R_28.0_603_1%","TopLayer","RES_0603","948.819","1334.646","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R57","R_28.0_603_1%","TopLayer","RES_0603","513.779","525.591","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R56","R_28.0_603_1%","TopLayer","RES_0603","584.646","525.591","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R55","R_28.0_603_1%","TopLayer","RES_0603","624.016","663.386","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R54","R_28.0_603_1%","TopLayer","RES_0603","692.913","690.945","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R52","R_28.0_603_1%","TopLayer","RES_0603","661.417","854.331","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R51","R_28.0_603_1%","TopLayer","RES_0603","661.417","919.291","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R50","R_28.0_603_1%","TopLayer","RES_0603","661.417","984.252","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R49","R_28.0_603_1%","BottomLayer","RES_0603","360.236","1072.835","90","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R48","R_28.0_603_1%","BottomLayer","RES_0603","1102.362","1409.449","360","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R47","R_28.0_603_1%","BottomLayer","RES_0603","1102.362","1468.504","360","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R46","R_28.0_603_1%","BottomLayer","RES_0603","1110.236","1527.559","360","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R45","R_28.0_603_1%","BottomLayer","RES_0603","251.969","1043.307","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R44","R_28.0_603_1%","BottomLayer","RES_0603","291.339","1165.354","270","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R43","R_49.9_1206_1%","TopLayer","RES_1206","2921.260","1539.370","90","RES 50 OHM 1/2W 1% 1206 SMD"
"R42","R_28.0_603_1%","BottomLayer","RES_0603","937.008","1531.496","360","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R41","R_28.0_603_1%","TopLayer","RES_0603","2624.016","1100.394","180","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R40","R_28.0_603_1%","TopLayer","RES_0603","2633.858","1161.417","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
"R39","R_49.9_1206_1%","TopLayer","RES_1206","2612.205","486.221","90","RES 50 OHM 1/2W 1% 1206 SMD"
"R37","R_2.00K_603_1%","TopLayer","RES_0603","1675.197","1915.354","180","RES 2.00K OHM 1/10W 1% 0603 SMD"
"R36","R_39.2_603_1%","BottomLayer","RES_0603","2352.362","1143.701","270","RES 39.2 OHM 1/10W 1% 0603 SMD"
"R35","R_39.2_603_1%","BottomLayer","RES_0603","2362.205","1283.465","270","RES 39.2 OHM 1/10W 1% 0603 SMD"
"R34","R_39.2_603_1%","TopLayer","RES_0603","2214.567","1480.315","0","RES 39.2 OHM 1/10W 1% 0603 SMD"
"R33","R_39.2_603_1%","BottomLayer","RES_0603","2484.252","1283.465","270","RES 39.2 OHM 1/10W 1% 0603 SMD"
"R31","R_10.0K_603_1%","TopLayer","RES_0603","2633.858","968.504","90","RES 10.0K OHM 1/10W 1% 0603 SMD"
"R30","R_100K_603_1%","BottomLayer","RES_0603","2929.134","88.583","90","RES 100K OHM 1/10W 1% 0603 SMD"
"R29","R_100K_603_1%","BottomLayer","RES_0603","2929.134","216.535","270","RES 100K OHM 1/10W 1% 0603 SMD"
"R28","R_100K_603_1%","BottomLayer","RES_0603","1966.535","226.378","270","RES 100K OHM 1/10W 1% 0603 SMD"
"R27","R_100K_603_1%","BottomLayer","RES_0603","1966.535","94.488","90","RES 100K OHM 1/10W 1% 0603 SMD"
"R26","R_28.0_603_1%","TopLayer","RES_0603","1029.528","527.559","0","RES 28.0 OHM 1/10W 1% 0603 SMD"
